,n1_field,n1_energy,n2_field,n2_energy
32,-96.7967967967968,-1.2174620417639637e-24,-96.7967967967968,-1.3503397312722464e-24
33,-96.6966966966967,-1.2150945452674227e-24,-96.6966966966967,-1.3477369377226477e-24
34,-96.5965965965966,-1.2127289578337047e-24,-96.5965965965966,-1.345136165822652e-24
35,-96.4964964964965,-1.2103652807481421e-24,-96.4964964964965,-1.3425374171160126e-24
36,-96.3963963963964,-1.20800351529682e-24,-96.3963963963964,-1.3399406931466707e-24
37,-96.2962962962963,-1.205643662765447e-24,-96.2962962962963,-1.3373459954593199e-24
38,-96.1961961961962,-1.2032857244402958e-24,-96.1961961961962,-1.3347533255984658e-24
39,-96.0960960960961,-1.2009297016073576e-24,-96.0960960960961,-1.3321626851094604e-24
40,-95.995995995996,-1.1985755955532813e-24,-95.995995995996,-1.3295740755374673e-24
41,-95.8958958958959,-1.1962234075644339e-24,-95.8958958958959,-1.3269874984284028e-24
42,-95.7957957957958,-1.1938731389275585e-24,-95.7957957957958,-1.324402955328371e-24
43,-95.6956956956957,-1.1915247909291162e-24,-95.6956956956957,-1.3218204477834761e-24
44,-95.5955955955956,-1.1891783648563202e-24,-95.5955955955956,-1.3192399773406688e-24
45,-95.4954954954955,-1.186833861996196e-24,-95.4954954954955,-1.3166615455467115e-24
46,-95.3953953953954,-1.1844912836355805e-24,-95.3953953953954,-1.3140851539489309e-24
47,-95.2952952952953,-1.1821506310618753e-24,-95.2952952952953,-1.311510804095124e-24
48,-95.1951951951952,-1.1798119055624817e-24,-95.1951951951952,-1.3089384975328054e-24
49,-95.0950950950951,-1.1774751084250833e-24,-95.0950950950951,-1.3063682358105246e-24
50,-94.994994994995,-1.1751402409368934e-24,-94.994994994995,-1.3038000204768307e-24
51,-94.8948948948949,-1.1728073043859717e-24,-94.8948948948949,-1.301233853080179e-24
52,-94.7947947947948,-1.1704763000601899e-24,-94.7947947947948,-1.298669735170059e-24
53,-94.6946946946947,-1.1681472292473254e-24,-94.6946946946947,-1.2961076682955842e-24
54,-94.59459459459458,-1.165820093235532e-24,-94.59459459459458,-1.2935476540066205e-24
55,-94.4944944944945,-1.1634948933130575e-24,-94.4944944944945,-1.2909896938533157e-24
56,-94.3943943943944,-1.1611716307682438e-24,-94.3943943943944,-1.2884337893856297e-24
57,-94.2942942942943,-1.1588503068892444e-24,-94.2942942942943,-1.2858799421543687e-24
58,-94.1941941941942,-1.1565309229648714e-24,-94.1941941941942,-1.2833281537103387e-24
59,-94.09409409409409,-1.1542134802834667e-24,-94.09409409409409,-1.2807784256047223e-24
60,-93.993993993994,-1.1518979801339363e-24,-93.993993993994,-1.2782307593890779e-24
61,-93.8938938938939,-1.1495844238049981e-24,-93.8938938938939,-1.275685156615058e-24
62,-93.7937937937938,-1.1472728125855583e-24,-93.7937937937938,-1.2731416188345972e-24
