,n1_field,n1_energy,n2_field,n2_energy
23,-263.859649122807,-4.45770396037303e-24,-263.859649122807,-4.9144904519824595e-24
24,-263.1578947368421,-4.437299096561473e-24,-263.1578947368421,-4.8925514364858895e-24
25,-262.4561403508772,-4.416920829701389e-24,-262.4561403508772,-4.8706313332363754e-24
26,-261.7543859649123,-4.396569346211041e-24,-261.7543859649123,-4.848730727417951e-24
27,-261.05263157894734,-4.376244830260772e-24,-261.05263157894734,-4.826850174644948e-24
28,-260.35087719298247,-4.3559474638879184e-24,-260.35087719298247,-4.804990203596703e-24
29,-259.64912280701753,-4.335677427103924e-24,-259.64912280701753,-4.783151318362057e-24
30,-258.9473684210526,-4.315434897996842e-24,-258.9473684210526,-4.761334000532112e-24
31,-258.2456140350877,-4.295220052827535e-24,-258.2456140350877,-4.7395387110730284e-24
32,-257.5438596491228,-4.275033066120522e-24,-257.5438596491228,-4.717765892006511e-24
33,-256.84210526315786,-4.254874110750584e-24,-256.84210526315786,-4.6960159679214005e-24
34,-256.140350877193,-4.234743358023454e-24,-256.140350877193,-4.674289347338096e-24
35,-255.43859649122803,-4.2146409777543366e-24,-255.43859649122803,-4.652586423939624e-24
36,-254.73684210526318,-4.194567138340791e-24,-254.73684210526318,-4.630907577688922e-24
37,-254.0350877192982,-4.17452200683185e-24,-254.0350877192982,-4.6092531758417404e-24
38,-253.33333333333331,-4.15450574899488e-24,-253.33333333333331,-4.587623573868418e-24
39,-252.6315789473684,-4.134518529377931e-24,-252.6315789473684,-4.566019116294217e-24
40,-251.92982456140348,-4.114560511369264e-24,-251.92982456140348,-4.544440137466407e-24
41,-251.22807017543857,-4.094631857254713e-24,-251.22807017543857,-4.522886962255609e-24
42,-250.52631578947364,-4.074732728271291e-24,-250.52631578947364,-4.501359906699498e-24
43,-249.8245614035088,-4.054863284658531e-24,-249.8245614035088,-4.479859278592336e-24
44,-249.1228070175438,-4.0350236857080496e-24,-249.1228070175438,-4.4583853780283326e-24
45,-248.42105263157896,-4.015214089809905e-24,-248.42105263157896,-4.436938497900807e-24
46,-247.71929824561403,-3.995434654496891e-24,-247.71929824561403,-4.415518924362983e-24
47,-247.01754385964912,-3.975685536487889e-24,-247.01754385964912,-4.394126937253985e-24
48,-246.3157894736842,-3.955966891727742e-24,-246.3157894736842,-4.372762810491739e-24
49,-245.61403508771926,-3.936278875426749e-24,-245.61403508771926,-4.351426812438502e-24
50,-244.9122807017544,-3.916621642096589e-24,-244.9122807017544,-4.330119206237712e-24
51,-244.21052631578942,-3.8969953455873734e-24,-244.21052631578942,-4.308840250128269e-24
52,-243.50877192982458,-3.877400139120183e-24,-243.50877192982458,-4.287590197736621e-24
53,-242.80701754385964,-3.857836175320076e-24,-242.80701754385964,-4.266369298347786e-24
54,-242.10526315789474,-3.838303606247309e-24,-242.10526315789474,-4.245177797158506e-24
55,-241.4035087719298,-3.8188025834267704e-24,-241.4035087719298,-4.224015935513477e-24
56,-240.7017543859649,-3.7993332578766655e-24,-240.7017543859649,-4.202883951125303e-24
57,-239.99999999999997,-3.7798957801355965e-24,-239.99999999999997,-4.181782078281294e-24
58,-239.29824561403507,-3.76049030028946e-24,-239.29824561403507,-4.160710548035303e-24
59,-238.59649122807016,-3.741116967995519e-24,-238.59649122807016,-4.1396695883895055e-24
60,-237.89473684210526,-3.7217759325071385e-24,-237.89473684210526,-4.118659424462542e-24
61,-237.19298245614033,-3.702467342697198e-24,-237.19298245614033,-4.097680278649763e-24
62,-236.49122807017542,-3.683191347079817e-24,-236.49122807017542,-4.0767323707713386e-24
63,-235.78947368421052,-3.663948093831795e-24,-235.78947368421052,-4.0558159182136964e-24
64,-235.0877192982456,-3.644737730813206e-24,-235.0877192982456,-4.034931136060611e-24
65,-234.38596491228068,-3.625560405587335e-24,-234.38596491228068,-4.0140782372188424e-24
66,-233.68421052631578,-3.6064162654390164e-24,-233.68421052631578,-3.9932574325343666e-24
67,-232.98245614035088,-3.5873054573935354e-24,-232.98245614035088,-3.9724689309037206e-24
68,-232.28070175438594,-3.568228128234025e-24,-232.28070175438594,-3.951712939377821e-24
69,-231.57894736842104,-3.54918442451783e-24,-231.57894736842104,-3.9309896632614586e-24
70,-230.87719298245614,-3.530174492593338e-24,-230.87719298245614,-3.910299306206114e-24
